Comments;Population;Plate ID;Strain;Running ID;Incubation_Position;Light_Intensity;Wait_time;RO5_Growth_Rate;Growth_Rate;SD_Grpwth_Rate';pH;FvFm;Start_Density;Pre_Density;drc_Normalization;Start_density;Relative_Start_Density;Biovolume;Surfacearea;Surface_Vol_ratio;Diameter;Diamter_Length_ratio
Low growth in both controls (revived in DNA cultures) Still low for DNA extraction ;GP;GP_11;GP2to4_42;GP_11;C1;175;5.166666667;1.361506471;0.063047713;0.200394298;7.94;0.58;0.001952476;0.071984631;Normal;23.30357143;4.472624454;128.4313151;159.2078125;1.239633904;3.3125;0.309970238
;GP;GP_12;GP2to4_43;GP_12;C2;184;5.233333333;1.346461561;1.519814235;0.162843657;8.02;0.62;0.002241419;0.355005251;Normal;17.41071429;3.341615971;297.7224935;244.5765625;0.821491717;5.5;0.684880952
Boosted growth at low Cu concentrations. Still low for DNA extraction ;GP;GP_13;GP2to4_44;GP_13;C7;189;5.3;1.424717795;1.305513755;0.13060112;7.94;0.61;0.001922531;0.076291371;Low;32.67857143;6.271956131;131.344401;152.3390625;1.159844358;3.6875;0.424464286
;GP;GP_14;GP2to4_45;GP_14;C8;170;5.366666667;1.381374501;1.433682753;0.249061637;7.96;0.63;0.002103195;0.221752611;Normal;25.26785714;4.849627281;254.5628255;231.8203125;0.91066051;4.9375;0.519404762
;GP;GP_15;GP2to4_46;GP_15;D1;177;5.433333333;1.363558066;1.595340198;0.07646008;7.96;0.64;0.002897405;0.251249131;Normal;19.46428571;3.735755291;251.8030599;228.8765625;0.90895068;4.9375;0.525654762
;GP;GP_16;GP2to4_47;GP_16;D7;189;5.633333333;1.416048606;1.542451182;0.125788297;8.05;0.63;0.002294287;0.336225131;Normal;14.52380952;2.787536058;221.0878906;205.571875;0.929819695;4.875;0.62
Still low growth for DNA extraction ;GP;GP_18;GP2to4_51;GP_18;D8;179;5.7;1.405065612;0.782936704;0.185151304;7.89;0.64;0.004088786;0.12641942;Normal;21.875;4.198440579;138.3460286;154.3015625;1.115330624;3.8125;0.47672619
;GP;GP_19;GP2to4_52;GP_19;E1;174;5.766666667;1.428291871;1.510461208;0.067017895;7.92;0.63;0.00287043;0.210540851;Normal;29.46428571;5.655042413;123.5250651;145.4703125;1.177658254;3.6875;0.484642857
;GP;GP_20;GP2to4_54;GP_20;E2;187;5.833333333;1.36934235;1.260399648;0.195249358;7.86;0.58;0.002533907;0.057761855;Normal;14.82142857;2.844657699;370.3196615;277.203125;0.748550925;5.5;0.634047619
;GP;GP_21;GP2to4_55;GP_21;E7;185;5.9;1.412575678;1.398489283;0.087801309;7.99;0.6;0.003194206;0.360360371;Normal;13.27380952;2.547625168;288.3188477;245.5578125;0.851688381;5.25;0.614583333
;GP;GP_22;GP2to4_56;GP_22;E8;172;5.966666667;1.341016975;1.106186148;0.379514029;7.98;0.62;0.003868964;0.280078971;Normal;15.625;2.998886128;210.4576823;196.4953125;0.933657115;4.8125;0.640238095
;GP;GP_23;GP2to4_57;GP_23;F1;172;6.033333333;1.396532231;1.277305636;0.047236806;7.95;0.58;0.003201907;0.079183507;Normal;28.48214286;5.466540999;196.3777669;174.171875;0.886922576;4.1875;0.600833333
;GP;GP_25;GP2to4_61;GP_25;F2;180;6.1;1.39477574;1.487688258;0.086490922;7.99;0.61;0.002962235;0.218977051;Normal;14.55357143;2.793248222;276.6665039;234.2734375;0.846771959;5.25;0.634047619
;GP;GP_26;GP2to4_63;GP_26;F7;171;6.166666667;1.430010687;1.546746187;0.09224692;8.08;0.62;0.003663234;0.398983251;Normal;17.05357143;3.273070003;189.0183919;189.1359375;1.000621874;4.375;0.501845238
;GP;GP_27;GP2to4_67;GP_27;F8;160;6.233333333;1.36107707;1.551822938;0.104043382;8.02;0.6;0.002320203;0.283468851;Normal;16.07142857;3.084568589;175.8583984;179.3234375;1.019703575;4.3125;0.524166667
;GP;GP_28;GP2to4_68;GP_28;G2;163;6.3;1.38309825;1.414518041;0.125300817;7.96;0.57;0.001590147;0.127394035;Normal;18.21428571;3.495844401;360.1494141;282.6;0.78467433;5.625;0.583333333
Llow growth for DNA extraction ;GP;GP_29;GP2to4_69;GP_29;G3;168;6.366666667;1.446455331;1.524050089;0.157181155;7.94;0.61;0.001808954;0.192994371;Normal;15.71428571;3.01602262;371.8528646;290.2046875;0.780428807;5.6875;0.600833333
Boosted growth at low Cu concentrations;GP;GP_30;GP2to4_70;GP_30;G4;173;6.433333333;1.456583205;1.460262023;0.07330566;7.96;0.61;0.001752757;0.190189491;Low;12.76785714;2.450518379;346.5805664;271.80625;0.784251272;5.8125;0.712916667
;RO5;GP_RO5;RO5;GP_RO5;A2;175;5.5;1.361960093;1.381824336;0.058791697;8.01;0.63;0.00345417;0.104426523;Normal;607.5;N/A;101.1914063;139.3375;1.376969697;3;0.282142857
;VG1-2;VG1-2_1;VG1-2 #44;VG1-2_1;A1;170;4;1.309597146;1.584569991;0.029048835;7.57;0.64;0.004729745;0.134550468;Normal;N/A;N/A;293.7617188;257.8234375;0.877661795;5.0625;0.479285714
;VG1-2;VG1-2_2;VG1-2 #45;VG1-2_2;B1;172;4.0390625;1.407991056;1.328569725;0.096258474;7.65;0.64;0.003454552;0.129024139;Normal;N/A;N/A;149.8450521;164.85;1.100136426;4;0.47
;VG1-2;VG1-2_3;VG1-2 #49;VG1-2_3;B2;181;4.078125;1.346348971;1.483911662;0.113622362;7.7;0.63;0.004258175;0.144652596;Normal;N/A;N/A;223.4388021;214.1578125;0.958462946;4.5625;0.497202381
;VG1-2;VG1-2_4;VG1-2 #56;VG1-2_4;C1;175;4.1171875;1.326284011;1.626721304;0.071377311;7.65;0.62;0.004257728;0.172753876;Normal;N/A;N/A;244.0348307;224.4609375;0.919790576;4.8125;0.51375
;VG1-2;VG1-2_5;VG1-2 #58;VG1-2_5;C2;184;4.15625;1.42278285;1.520942903;0.072906029;7.65;0.64;0.005344493;0.181103636;Normal;N/A;N/A;379.2633464;294.865625;0.777469344;5.75;0.579940476
;VG1-2;VG1-2_6;VG1-2 #61;VG1-2_6;D1;177;4.1953125;1.365315167;1.6109705;0.09122778;7.64;0.64;0.00439037;0.12963674;Normal;N/A;N/A;153.8313802;170.9828125;1.111495017;3.8125;0.387797619
Crashed in growth curve/boosted grpwth at low Cu;VG1-2;VG1-2_7;VG1-2 #63;VG1-2_7;D2;186;4.234375;1.414947077;0.568659565;0.0982213;7.64;0.65;0.005246181;0.201088196;Low;N/A;N/A;204.4270833;197.4765625;0.966;4.5625;0.514166667
;VG1-2;VG1-2_8;VG1-2 #64;VG1-2_8;E1;174;4.2734375;1.364180864;1.581928041;0.058035783;7.58;0.65;0.005040748;0.12140324;Normal;N/A;N/A;184.0865885;182.2671875;0.990116602;4.4375;0.586666667
;VG1-2;VG1-2_9;VG1-2 #65;VG1-2_9;E2;187;4.3125;1.379986756;1.443195267;0.071115012;7.64;0.64;0.004003946;0.199070996;Normal;N/A;N/A;378.5222982;289.7140625;0.765381759;5.875;0.642857143
Abnormal growth curve/boosted grpwth at low Cu;VG1-2;VG1-2_10;VG1-2 #66;VG1-2_10;F1;172;4.3515625;1.524951778;1.370281279;0.110366237;7.74;0.63;0.005281478;0.117670068;Low;N/A;N/A;360.609375;286.034375;0.793197279;5.625;0.56
;VG1-2;VG1-2_11;VG1-2 #67;VG1-2_11;F2;180;4.390625;1.450598357;1.676851461;0.074675836;7.76;0.66;0.003761664;0.200066356;Normal;N/A;N/A;120.7652995;146.696875;1.214727042;3.5;0.387797619
;VG1-2;VG1-2_12;VG1-2 #72;VG1-2_12;G2;163;4.4296875;1.365358868;1.739190374;0.05622729;7.81;0.65;0.004085761;0.125711472;Normal;N/A;N/A;185.0576172;190.853125;1.031317316;4.125;0.432083333
;VG1-2;VG1-2_13;VG1-2 #74;VG1-2_13;G3;168;4.46875;1.449433932;1.887243718;0.058568423;7.77;0.65;0.005040477;0.187774652;Normal;N/A;N/A;163.5927734;172.209375;1.05267104;4.125;0.489047619
;VG1-2;VG1-2_14;VG1-2 #78;VG1-2_14;G4;173;4.5078125;1.470970803;1.854203084;0.033349078;7.57;0.64;0.004409706;0.140695316;Normal;N/A;N/A;303.1653646;269.5984375;0.88927849;4.9375;0.442142857
Very tolerant!! (winner!);VG1-2;VG1-2_15;VG1-2 #81;VG1-2_15;G5;176;4.546875;1.614678916;1.783334116;0.066499002;7.62;0.67;0.004522827;0.138758166;Normal;N/A;N/A;442.2013346;302.9609375;0.685119908;6.875;1.0675
;VG1-2;VG1-2_16;VG1-2 #83;VG1-2_16;G6;168;4.5859375;1.416530257;1.684539295;0.083422494;7.66;0.66;0.003720059;0.108751872;Normal;N/A;N/A;156.5911458;178.8328125;1.142036554;3.8125;0.365178571
;VG1-2;VG1-2_17;VG1-2 #85;VG1-2_17;A6;182;4.625;1.359394988;1.50883097;0.157807148;7.65;0.65;0.002285772;0.080096796;Normal;N/A;N/A;183.3710938;192.815625;1.051505017;4.125;0.406666667
;VG1-2;VG1-2_18;VG1-2 #86;VG1-2_18;A7;171;4.6640625;1.419708276;1.536579674;0.110409113;7.74;0.66;0.003621016;0.083274204;Normal;N/A;N/A;265.2952474;239.6703125;0.903409748;4.9375;0.50875
;VG1-2;VG1-2_19;VG1-2 #88;VG1-2_19;A8;160;4.78125;1.361526475;1.46297308;0.238438939;7.83;0.66;0.002471343;0.116954924;Normal;N/A;N/A;145.4498698;165.340625;1.136753338;3.875;0.416666667
Crashed in growth curve/boosted grpwth at low Cu;VG1-2;VG1-2_20;VG1-2 #89;VG1-2_20;A7;181;4.8203125;1.438100453;0.697779429;0.207492379;7.79;0.64;0.004161458;0.156144276;Normal;N/A;N/A;161.0374349;184.2296875;1.144017772;3.8125;0.371190476
;VG1-2;VG1-2_21;VG1-2 #90;VG1-2_21;A8;165;4.859375;1.378735887;1.533480638;0.073843562;7.8;0.65;0.003990865;0.155110596;Normal;N/A;N/A;161.3951823;181.040625;1.121722609;3.875;0.37125
Sex and stressballs observed in Growth curve control, low growth too;VG1-2;VG1-2_22;VG1-2 #93;VG1-2_22;B8;167;4.8984375;1.417369269;1.359448225;0.245416723;7.65;0.62;0.002966714;0.118423016;Normal;N/A;N/A;155.875651;187.41875;1.202360656;3.5;0.267559524
;VG1-2;VG1-2_23;VG1-2 #94;VG1-2_23;C8;170;4.9375;1.374520392;1.42832058;0.066849239;7.69;0.66;0.00265776;0.145681116;Normal;N/A;N/A;756.3035482;464.8671875;0.614656891;7.375;0.628571429
Crashed in growth curve/boosted grpwth at low Cu;VG1-2;VG1-2_24;VG1-2 #95;VG1-2_24;D8;179;4.9765625;1.437469457;1.416569635;0.095668111;7.8;0.67;0.0031026;0.168807716;Low;N/A;N/A;180.7135417;201.646875;1.115837104;3.875;0.329672619
;VG1-2;VG1-2_25;VG1-2 #99;VG1-2_25;E8;172;5.015625;1.396445545;1.593281588;0.062734709;7.85;0.66;0.004375602;0.214534276;Normal;N/A;N/A;269.2815755;235.5;0.87454925;5.125;0.57625
(C winner);VG1-2;VG1-2_26;VG1-2 #103;VG1-2_26;F6;182;5.0546875;1.502078035;1.86078132;0.07367902;7.85;0.66;0.004170724;0.190749676;Normal;N/A;N/A;405.9666341;306.3953125;0.754730283;5.875;0.60875
Very tolerant!!/ Slightly abnormal growth curve;VG1-2;VG1-2_27;VG1-2 #104;VG1-2_27;F7;171;5.09375;1.461623926;1.58298271;0.156518456;7.71;0.66;0.0043432;0.130724716;Normal;N/A;N/A;152.758138;179.56875;1.175510204;3.625;0.326607143
Very tolerant!!;VG1-2;VG1-2_28;VG1-2 #105;VG1-2_28;F8;160;5.1328125;1.388622765;1.549503587;0.222008772;7.73;0.64;0.004711267;0.119076568;Normal;N/A;N/A;128.891276;160.6796875;1.246629659;3.3125;0.290297619
;VG1-2;VG1-2_29;VG1-2 #106;VG1-2_29;A1;160;5.171875;1.275488203;1.31594626;0.293761605;7.77;0.64;0.002993067;0.115888916;Normal;N/A;N/A;142.1279297;166.321875;1.170226537;3.75;0.403928571
;VG1-2;VG1-2_30;VG1-2 #107;VG1-2_30;C3/D3;199;5.2109375;1.335307782;1.72430081;0.097574925;7.77;0.67;0.004329767;0.12135334;Normal;N/A;N/A;148.0818685;163.6234375;1.104952545;4;0.469583333
;RO5;VG1-2_RO5;RO5;VG1-2_RO5;A2;175;4.703125;1.290455976;1.312740772;0.026422325;7.68;0.67;0.004462315;0.078633872;Normal;N/A;N/A;174.9895833;188.890625;1.079439252;4;0.416904762
