Population	Experiment	Timepoint	Treatment	Rep	Exposure_h	SamplePoint	YII
VG	VG	39	C	3	1.065833333	1h	0.41
RO5AC	VG	39	C	2	1.092222222	1h	0.45
RO5AC	VG	39	Cu	2	1.191666667	1h	0.53
VG	VG	39	Cu	1	3.204166667	3h	0.25
VG	VG	39	Cu	2	3.217222222	3h	0.22
VG	VG	39	Cu	3	3.230277778	3h	0.39
VG	VG	39	C	1	3.131944444	3h	0.06
VG	VG	39	C	2	3.149444444	3h	0.07
VG	VG	39	C	3	3.167777778	3h	0.05
RO5AC	VG	39	C	2	3.191944444	3h	0.32
RO5AC	VG	39	Cu	2	3.24	3h	0.37
